StateAbr,LibID,title,Address,City,Zip,Zip4,County,Phone,BookVol,Visits,Long,Lat
AK,AK0027,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,173,VALDEZ-CORDOVA,9078225427,16773,12200,-146.369847,62.05552
AK,AK0028,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,279,SKAGWAY-ANGOON,9076972350,11020,8239,-136.855874,58.83307
AK,AK0029,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,37435,84260,-135.446889,59.2363
AK,AK0030,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,518,DENALI,9076832507,24654,6404,-148.563331,64.014
AK,AK0031,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS SCHOOL ROAD,HOLLIS,99950,5,PR WALES-OUTER KE,9075307112,17200,1600,-132.878786,55.76289
AK,AK0032,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,35931,133186,-151.544372,59.63993
AK,AK0033,HOPE PUBLIC LIBRARY,18487 A AVENUE,HOPE,99605,127,KENAI PENINSULA,9077823121,-3,-3,-149.636592,60.916201
AK,AK0035,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,118523,397401,-134.400041,58.29759
AK,AK0037,KASILOF PUBLIC LIBRARY,58200 STERLING HIGHWAY,KASILOF,99610,176,KENAI PENINSULA,9072524097,14622,3080,-151.225689,60.3424
AK,AK0038,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,78136,97802,-151.244012,60.55813
AK,AK0039,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,59651,132940,-131.650775,55.34479
AK,AK0040,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,7341,KODIAK ISLAND,9074868688,68894,149572,-152.398502,57.79393
AK,AK0041,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,297,NORTHWEST ARCTIC,9074422410,13108,19100,-162.587444,66.89788
AK,AK0044,MCGRATH COMMUNITY SCHOOL LIBRARY,CHINANA AVENUE,MCGRATH,99627,249,YUKON-KOYUKUK,9075243843,12141,3056,-154.958831,62.94694
AK,AK0046,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,7,PR WALES-OUTER KE,9078866015,8978,1815,-131.582243,55.13203
AK,AK0047,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,147,BRISTOL BAY,9072464465,15820,8644,-156.710141,58.84785
AK,AK0048,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,40,YUKON-KOYUKUK,9078325812,8406,7940,-149.092702,64.56222
AK,AK0051,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,165,KENAI PENINSULA,9075673333,12412,7161,-151.691726,60.0275
AK,AK0052,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1168,NOME,9074436628,16059,20000,-165.40543,64.49731
AK,AK0053,NORTHWAY COMMUNITY/SCHOOL LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,99764,496,SE FAIRBANK,9077782287,2827,1000,-141.945631,62.94483
AK,AK0055,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077454690,54729,101577,-149.113741,61.59847
AK,AK0056,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,712,SKAGWAY-ANGOON,9077352500,10304,4397,-136.135508,58.10796
AK,AK0057,PETERSBURG PUBLIC LIBRARY,12 SOUTH NORDIC DRIVE,PETERSBURG,99833,549,WRANGELL-PETERSBU,9077723349,27058,50622,-132.958255,56.80848
AK,AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,49,KODIAK ISLAND,9074542288,12471,2197,-152.883298,57.87453
AK,AK0060,RUBY COMMUNITY LIBRARY,10 BOBBY KENNEDY SR. WAY,RUBY,99768,10,YUKON-KOYUKUK,9074684432,-3,-3,-155.71915,64.400047
AK,AK0061,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOL BOULEVARD,SAINT PAUL,99660,905,ALEUTIANS WEST,9075463324,13760,5408,-170.27885,57.18359
AK,AK0064,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,275,KENAI PENINSULA,9072347662,9451,3268,-151.531478,59.64462
AK,AK0065,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,99664,2389,KENAI PENINSULA,9072244008,28667,89945,-149.438759,60.10178
AK,AK0067,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7570,SITKA,9077474021,65257,184964,-135.334496,57.04958
AK,AK0068,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,394,SKAGWAY-ANGOON,9079832665,10202,14736,-135.308005,59.46061
AK,AK0069,SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY STREET,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,45048,90988,-151.072559,60.49234
AK,AK0070,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,99674,266,MATANUSKA-SUSITNA,9077454467,13471,9152,-148.943896,61.7554
AK,AK0071,TAKOTNA COMMUNITY LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,7529,YUKON-KOYUKUK,9072982212,2757,1156,-156.124971,62.97515
AK,AK0072,TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,768,MATANUSKA-SUSITNA,9077332359,12186,26000,-149.889417,62.17843
AK,AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,7109,YUKON-KOYUKUK,9073667211,12150,2230,-151.892209,65.3268
AK,AK0074,DERMOTT O'TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,35,SKAGWAY-ANGOON,9077362248,6097,1172,-135.212133,57.77754
AK,AK0075,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,227,SE FAIRBANK,9078835623,13288,1525,-142.249751,63.9214
AK,AK0077,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS STREET,VALDEZ,99686,609,VALDEZ-CORDOVA,9078354632,45074,30703,-146.353761,61.12918
AK,AK0078,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7085,MATANUSKA-SUSITNA,9073732242,49675,84096,-149.441507,61.58256
AK,AK0080,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,129,MATANUSKA-SUSITNA,9074957323,21856,27349,-150.98442,61.67003
AK,AK0081,IRENE INGLE PUBLIC LIBRARY,124 SECOND AVENUE,WRANGELL,99929,679,WRANGELL,9078743535,35979,26676,-132.378872,56.45098
AK,AK0082,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,49,BETHEL,9077654631,7600,3979,-161.191724,60.88718
AK,AK0085,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,9704,VALDEZ-CORDOVA,9078223015,6670,3338,-143.873988,61.66443
AK,AK0087,KOYUK PUBLIC LIBRARY,BIRCH STREET,KOYUK,99753,69,NOME,9079633441,-3,-3,-161.148928,64.939392
AK,AK0091,TULUKSAK SCHOOL/COMMUNITY LIBRARY,PHILLIP STREET,TULUKSAK,99679,115,BETHEL,9076955636,8320,4155,-160.95319,61.10831
AK,AK0092,NAQIAKSRAT LIBRARY,ROCKY ROAD & FISH RIVER ROAD,WHITE MOUNTAIN,99784,130,NOME,9076383411,5629,3203,-162.561429,65.00544
AK,AK0094,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,2130,NORTH SLOPE,9078524050,50768,59822,-156.75342,71.29845
AK,AK0095,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,190,BETHEL,9078253600,10210,5656,-161.409778,60.8781
AK,AK0097,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829,157,SKAGWAY-ANGOON,9079453611,20703,15150,-135.437574,58.10915
AK,AK0099,MOOSE PASS PUBLIC LIBRARY,200 DEPOT ROAD,MOOSE PASS,99631,154,KENAI PENINSULA,9072883111,5686,2856,-149.508366,60.52465
AK,AK0100,NIKOLAI COMMUNITY/SCHOOL LIBRARY,TOP OF THE KUSKOKWIM SCHOOL BUILDIN,NIKOLAI,99691,9091,YUKON-KOYUKUK,9072932427,4100,2000,-154.374475,63.00669
AK,AK0101,SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661,269,ALEUTIANS EAST,9073832393,5600,26000,-160.487593,55.34761
AK,AK0102,EGEGIK VILLAGE LIBRARY,289 AIRPORT WAY,EGEGIK,99579,29,LAKE AND PENINSULA,9072332211,5161,1060,-157.335327,58.17839
AK,AK0103,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683,388,MATANUSKA-SUSITNA,9077331546,12526,3547,-150.321414,61.41243
AK,AK0104,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,210 TRAILWAY STREET,HOLY CROSS,99602,210,YUKON-KOYUKUK,9074767131,4503,1000,-160.443036,62.22932
AK,AK0113,OUZINKIE TRIBAL MEDIA CENTER,130 THIRD STREET,OUZINKIE,99644,130,KODIAK ISLAND,9076802323,2323,3540,-152.508261,57.92122
AK,AK0114,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,NO. 1 ELEMENTARY SCHOOL ROAD,ST. GEORGE,99591,959,ALEUTIANS WEST,9075463324,4827,1440,-169.619142,56.58272
AK,AK0115,UNALASKA PUBLIC LIBRARY,63 ELEANOR DRIVE,UNALASKA,99685,1370,ALEUTIANS WEST,9075815060,30323,105015,-166.529689,53.87054
AK,AK0116,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557,270,BETHEL,9076754435,4300,2600,-156.683203,61.4908
AK,AK0117,HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923,50,PR WALES-OUTER,2506369148,7311,1250,-130.036515,55.92994
AK,AK0120,INNOKO RIVER COMMUNITY/SCHOOL LIBRARY,101 PINE STREET,SHAGELUK,99665,49,YUKON-KOYUKUK,9074738206,3774,2000,-159.798143,62.64145
AK,AK0121,ANVIK COMMUNITY/SCHOOL LIBRARY,1 AIRPORT ROAD,ANVIK,99558,90,YUKON-KOYUKUK,9076636348,3947,1240,-160.128556,63.27254
AK,AK0122,GRAYLING COMMUNITY/SCHOOL LIBRARY,DAVID LOUIS SCHOOL BUILDING,GRAYLING,99590,90,YUKON-KOYUKUK,9074535135,6512,1315,-159.683027,64.07926
AK,AK0123,KLAWOCK PUBLIC LIBRARY,615 NORTH PARK STREET,KLAWOCK,99925,469,PR WALES-OUTER,9077552261,-3,-3,-132.958135,55.554748
AK,AK0124,LAKE MINCHUMINA COMMUNITY LIBRARY,123 AIRPORT WAY,LAKE MIN,99757,50,YUKON-KOYUKUK,9076743211,3935,788,-152.385396,63.8005
AK,AK0126,IGIUGIG TRIBAL LIBRARY,1 AIRPORT ROAD,IGIUGIG,99613,4008,LAKE AND PENINSULA,9075333211,7228,1016,-156.48296,58.73102
AK,AK0127,COFFMAN COVE COMMUNITY LIBRARY,106 DENALI ALLEY,COFFMAN COVE,99918,135,PR WALES-OUTER KE,9073292233,12519,4932,-131.696402,55.35655
AK,AK0129,MOUNTAIN VILLAGE PUBLIC LIBRARY,1 SAINT MARY'S HIGHWAY,MOUNTAIN VILLAGE,99632,85,WADE HAMPTON,9075912970,4400,870,-164.537503,62.1696
AK,AK0130,THORNE BAY PUBLIC LIBRARY,120 FREEMAN DRIVE,THORNE BAY,99919,489,PR WALES-OUTER KE,9078283303,4140,2417,-132.52418,55.68823
AK,AK0133,PILOT POINT TRIBAL LIBRARY,2200 MAIN STREET,PILOT POINT,99649,449,LAKE AND PENINSULA,9077972208,1317,1357,-157.384464,57.52567
AK,AK0134,WHALE PASS COMMUNITY LIBRARY,BEACH ROAD LOT 3 BLOCK 14,WHALE PASS,99950,2080,PR WALES-OUTER KE,9078465226,4787,1360,-132.878786,55.76289
AK,AK0135,TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER,SECOND AVENUE AND G STREET,TOGIAK,99678,353,DILLINGHAM,9074935566,6100,832,-160.391925,59.06007
AK,AK0136,SCAMMON BAY PUBLIC LIBRARY,101 ASKINUK STREET,SCAMMON BAY,99662,110,WADE HAMPTON,9075585400,3500,1000,-165.080055,61.79161
AL,AL0001,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,98 18TH STREET EAST,JASPER,35501,5491,WALKER,2052212568,3926,221158,-87.273906,33.83339
AL,AL0002,ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,35541,146,WINSTON,2053870129,6840,7582,-87.2234,34.04997
AL,AL0003,CORDOVA PUBLIC LIBRARY,84 MAIN ST.,CORDOVA,35550,1415,WALKER,2054839578,8764,9287,-87.182924,33.75642
AL,AL0004,DORA PUBLIC LIBRARY,1485 SHARON BLVD,DORA,35062,700,WALKER,2056483211,-3,-3,-87.07569,33.743559
AL,AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,637 BLAKE DRIVE,DOUBLE SPRINGS,35553,555,WINSTON,2054892412,8745,5850,-87.383461,34.14703
AL,AL0006,HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,35565,1323,WINSTON,2054867450,10330,5744,-87.623386,34.2263
AL,AL0007,JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,35501,5491,WALKER,2052218512,49405,28647,-87.273906,33.83339
AL,AL0009,SUMITON PUBLIC LIBRARY,416 STATE STREET,SUMITON,35148,10,WALKER,2056487451,9722,1272,-87.049527,33.74957
AL,AL0010,CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,36264,1313,CLEBURNE,2564637125,21770,1379,-85.588945,33.64375
AL,AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,36274,1616,RANDOLPH,3348632632,19487,25588,-85.370667,33.1495
AL,AL0012,ASHLAND CITY PUBLIC LIBRARY,11 SECOND AVENUE NORTH,ASHLAND,36251,296,CLAY,2563543427,21267,13762,-85.837992,33.27473
AL,AL0013,B .B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,35150,2528,TALLADEGA,2562490961,102297,72588,-86.250724,33.17185
AL,AL0014,CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,35960,2026,CHEROKEE,2569275838,26840,27650,-85.67641,34.14928
AL,AL0015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,35044,1642,TALLADEGA,2563787239,41797,23131,-86.355664,33.27752
AL,AL0016,LINCOLN PUBLIC LIBRARY,49 COMPLEX DRIVE,LINCOLN,35096,5096,TALLADEGA,2057637777,16148,8958,-86.122667,33.6044
AL,AL0017,LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,36266,482,CLAY,2563965162,14817,6286,-85.754449,33.31468
AL,AL0018,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,541 ROSS STREET,HEFLIN,36264,1339,CLEBURNE,2564632259,15927,9656,-85.587878,33.64374
AL,AL0019,OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET,OXFORD,36203,1617,CALHOUN,2568311750,34957,20462,-85.83545,33.60969
AL,AL0020,TALLADEGA PUBLIC LIBRARY,202 SOUTH STREET EAST,TALLADEGA,35160,2471,TALLADEGA,2563624211,148900,41540,-86.09972,33.43313
AL,AL0022,ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET,ABBEVILLE,36310,2419,HENRY,3345852818,29775,17646,-85.250486,31.56676
AL,AL0023,ARITON - DOT LANEY MEMORIAL LIBRARY,30 W. MAIN STREET,ARITON,36311,26,DALE,3347622463,10169,1723,-85.719461,31.60018
AL,AL0024,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET,HEADLAND,36345,1747,HENRY,3346932706,72187,23015,-85.342198,31.35231
AL,AL0025,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET,BRUNDIDGE,36010,1809,PIKE,3347352145,15113,11205,-85.815509,31.71897
AL,AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,416 JAMES STREET,OZARK,36360,2090,DALE,3347745480,61493,106318,-85.632774,31.45219
AL,AL0029,CLIO - ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET,CLIO,36017,9298,BARBOUR,3343972911,7680,3212,-85.612081,31.7087
AL,AL0030,LOUISVILLE PUBLIC LIBRARY,1951 MAIN ST.,LOUISVILLE,36048,125,BARBOUR,3342665210,5706,240,-85.555289,31.78378
AL,AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,1318 HINTON WATERS AVE,MIDLAND CITY,36350,713,DALE,3349839999,7548,2442,-85.489966,31.32686
AL,AL0032,NEWTON PUBLIC LIBRARY,209 OATES DRIVE,NEWTON,36352,9588,DALE,3342993316,12440,4475,-85.596856,31.33194
AL,AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,45 NORTH MIDWAY STREET,CLAYTON,36016,518,BARBOUR,3347753506,15530,2802,-85.458753,31.88456
AL,AL0034,TROY PUBLIC LIBRARY,300 NORTH THREE NOTCH STREET,TROY,36081,2022,PIKE,3345661314,78363,81016,-85.97222,31.80972
AL,AL0035,UNION SPRINGS PUBLIC LIBRARY,103 NORTH PRAIRIE STREET,UNION SPRINGS,36089,1616,BULLOCK,3347382760,13562,17336,-85.716105,32.14064
AL,AL0037,ANDALUSIA PUBLIC LIBRARY,212 SOUTH THREE NOTCH STREET,ANDALUSIA,36420,3710,COVINGTON,3342226612,46349,34199,-86.482884,31.30693
AL,AL0038,BRANTLEY PUBLIC LIBRARY,10 MLK DR.,BRANTLEY,36009,45,CRENSHAW,3345278624,8367,790,-86.35482,31.59088
AL,AL0039,ELBA PUBLIC LIBRARY,406 SIMMONS STREET,ELBA,36323,1759,COFFEE,3348976921,14209,17202,-86.065581,31.4145
AL,AL0040,GENEVA - EMMA KNOX KENAN PUBLIC LIBRARY,312 SOUTH COMMERCE STREET,GENEVA,36340,M,GENEVA,3346842459,17955,11844,-85.865083,31.03622
AL,AL0041,ENTERPRISE PUBLIC LIBRARY,101 EAST GRUBBS STREET,ENTERPRISE,36330,2531,COFFEE,3343472636,47280,93928,-85.853377,31.31367
AL,AL0042,FLORALA PUBLIC LIBRARY,1214 FOURTH STREET,FLORALA,36442,1814,COVINGTON,3348583525,15182,9783,-86.327219,31.00565
AL,AL0043,HARTFORD / MCGREGOR-MCKINNEY PUBLIC LIBRARY,101 EAST FULTON ST.,HARTFORD,36344,1626,GENEVA,3345882384,20752,17591,-85.696666,31.09826
AL,AL0044,LUVERNE PUBLIC LIBRARY,148 EAST THIRD AVENUE,LUVERNE,36049,1117,CRENSHAW,3343355326,13302,26256,-86.261602,31.71632
AL,AL0045,OPP PUBLIC LIBRARY,1604 NORTH MAIN STREET,OPP,36467,717,COVINGTON,3344936423,24552,22165,-86.25497,31.30712
AL,AL0046,SAMSON PUBLIC LIBRARY,200 NORTH JOHNSON STREET,SAMSON,36477,2006,GENEVA,3348987806,8808,3788,-86.046002,31.11811
AL,AL0047,SLOCOMB PUBLIC LIBRARY,134 SOUTH DALTON AVENUE,SLOCOMB,36375,1026,GENEVA,3348869009,0,1000,-85.593681,31.10703
AL,AL0048,HORSESHOE BEND REGIONAL LIBRARY,207 NORTH WEST STREET,DADEVILLE,36853,1355,TALLAPOOSA,2568259232,99098,473600,-85.765401,32.83339
AL,AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,318 CHURCH STREET,ALEXANDER CITY,35010,5010,TALLAPOOSA,2563296796,33786,63752,-85.95393,32.94154
AL,AL0050,DADEVILLE PUBLIC LIBRARY,205 NORTH WEST STREET,DADEVILLE,36853,1355,TALLAPOOSA,2568257820,8898,17689,-85.765401,32.83339
AL,AL0051,GOODWATER PUBLIC LIBRARY,36 WEOGUFKA STREET,GOODWATER,35072,140,COOSA,2568395741,14005,5434,-86.05253,33.06383
AL,AL0052,AUBURN PUBLIC LIBRARY,749 EAST THACH AVENUE,AUBURN,36830,5545,LEE,3345013190,63038,166326,-85.466427,32.60441
AL,AL0053,OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY,200 SOUTH 6TH STREET,OPELIKA,36801,125,LEE,3347055380,62340,85069,-85.375903,32.64908
AL,AL0054,MILLBROOK PUBLIC LIBRARY,3650 GRANDVIEW ROAD,MILLBROOK,36054,525,ELMORE,3342856688,30152,78655,-86.361986,32.47677
AL,AL0055,ROCKFORD PUBLIC LIBRARY,110 MAIN STREET,ROCKFORD,35136,128,COOSA,2563774911,5253,1704,-86.225611,32.87139
AL,AL0056,TALLASSEE COMMUNITY LIBRARY,99 FREEMAN AVENUE,TALLASSEE,36078,M,TALLAPOOSA,3342832732,24170,25476,-85.879175,32.54029
AL,AL0057,WETUMPKA PUBLIC LIBRARY,212 SOUTH MAIN STREET,WETUMPKA,36092,249,ELMORE,3345671308,23158,25243,-86.206127,32.5334
AL,AL0059,FLORENCE-LAUDERDALE PUBLIC LIBRARY,350 NORTH WOOD AVENUE,FLORENCE,35630,4706,LAUDERDALE,2567646564,89822,236261,-87.674645,34.80356
AL,AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,511 NORTH MAIN STREET,TUSCUMBIA,35674,2059,COLBERT,2563837065,24964,9725,-87.7035,34.73655
AL,AL0061,LEIGHTON PUBLIC LIBRARY,8740 MAIN STREET,LEIGHTON,35646,484,COLBERT,2564465380,9298,3820,-87.528964,34.70015
AL,AL0062,MUSCLE SHOALS PUBLIC LIBRARY,1918 EAST AVALON AVENUE,MUSCLE SHOALS,35661,2402,COLBERT,2563869212,45577,74610,-87.64515,34.74444
AL,AL0063,ROGERSVILLE PUBLIC LIBRARY,74 BANK STREET,ROGERSVILLE,35652,191,LAUDERDALE,2562470151,31505,25181,-87.29206,34.82425
AL,AL0064,SHEFFIELD PUBLIC LIBRARY,316 NORTH MONTGOMERY AVENUE,SHEFFIELD,35660,2709,COLBERT,2563865633,54483,57000,-87.698531,34.76144
AL,AL0065,NORTHWEST REGIONAL LIBRARY,185 ASHWOOD DRIVE,WINFIELD,35594,1527,MARION,2054872330,82408,112865,-87.815049,33.93085
AL,AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,350 BEXAR AVENUE WEST,HAMILTON,35570,1944,MARION,2059214290,15834,14980,-87.992322,34.14318
AL,AL0067,KENNEDY PUBLIC LIBRARY,17885 HWY. 96,KENNEDY,35574,70,LAMAR,2055963670,4053,331,-87.976044,33.58605
AL,AL0068,MCHS COMMUNITY LIBRARY,8115 U.S. HIGHWAY 43,GUIN,35563,549,MARION,2054682544,18602,13910,-87.89401,33.967
AL,AL0069,MILLPORT PUBLIC LIBRARY,920 BLACK STREET,MILLPORT,35576,159,LAMAR,2056624286,9800,3629,-88.089351,33.56156
AL,AL0070,RUSSELLVILLE PUBLIC LIBRARY,110 EAST LAWRENCE STREET,RUSSELLVILLE,35653,2349,FRANKLIN,2563321535,19534,5800,-87.730263,34.50473
AL,AL0071,SULLIGENT PUBLIC LIBRARY,514 ELM STREET,SULLIGENT,35586,215,LAMAR,2056988631,12930,10261,-88.13174,33.90033
AL,AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,110 FIRST AVENUE WEST,VERNON,35592,357,LAMAR,2056956123,11940,12575,-88.109729,33.7091
AL,AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,307 4TH AVENUE SOUTH,RED BAY,35582,870,FRANKLIN,2563569255,11033,8567,-88.149203,34.41045
