City,State,Name,Address,Zip,Phone,Email
Kenny Lake,Alaska,Kenny Lake Public Library,hc60 box 223,99573,(907) 822-3015,
Ketchikan,Alaska,Ketchikan Public Library,629 Dock Street,99901,(907) 225-3331,
Klawock,Alaska,Klawock Public Library,615 North Park Street,99925,(907) 755-2261,
Kodiak,Alaska,A. Holmes Johnson Memorial Library,319 Lower Mill Bay Road,99615,(907) 486-8688,
Kotzebue,Alaska,Chukchi Consortium Library,604 Third Street,99752,(907) 442-2410,
Koyuk,Alaska,Koyuk Public Library,p.o. box 53069,99753,(907) 963-3441,
Lake Min,Alaska,Lake Minchumina Community Library,123 Airport Way,99757,(907) 674-3211,
Mcgrath,Alaska,Mcgrath Community School Library,p.o. box 249,99627,(907) 524-3843,
Metlakatla,Alaska,Centennial Library,4th Milton Street,99926,(907) 886-6015,
Moose Pass,Alaska,Moose Pass Public Library,200 Depot Road,99631,(907) 288-3111,
Mountain Village,Alaska,Mountain Village Public Library,1 Saint Marys Highway,99632,(907) 591-2970,
Naknek,Alaska,Martin Monsen Regional Library,101 Main Street,99633,(907) 246-4465,
Nenana,Alaska,Nenana Public Library,201 East Second Street,99760,(907) 832-5812,
Nikolai,Alaska,Nikolai Community-School Library,p.o. box 9190,99691,(907) 293-2427,
Ninilchik,Alaska,Ninilchik Community Library,15850 Sterling Highway,99639,(907) 567-3333,
Nome,Alaska,Kegoayah Kozga Library,223 Front Street,99762,(907) 443-6628,
North Pole,Alaska,North Pole Branch Library,601 Snowman Lane,99705,(907) 488-6101,
Northway,Alaska,Northway Community-School Library,p.o. box 496,99764,(907) 778-2287,
Nuiqsut,Alaska,Nuiqsut Trapper School-Community Library,3310 3rd Avenue,99789,(907) 480-6712,
Ouzinkie,Alaska,Ouzinkie Tribal Media Center,130 Third Street,99644,(907) 680-2323,
Palmer,Alaska,Palmer Public Library,655 South Valley Way,99645,(907) 745-4690,Email
Pelican,Alaska,Pelican Public Library,166 Salmon Way,99832,(907) 735-2500,
Petersburg,Alaska,Petersburg Public Library,12 South Nordic Drive,99833,(907) 772-3349,
Pilot Point,Alaska,Pilot Point Tribal Library,2200 Main Street,99649,(907) 797-2208,
Point Hope,Alaska,Tikigak School-Community Library,1837 Tikigak Avenue,99766,(907) 368-2662,
Point Lay,Alaska,Kali School-Community Library,1029 Ugruk Avenye,99759,(907) 833-2311,
Port Lions,Alaska,Jessie Wakefield Memorial Library,207 Spruce Drive,99550,(907) 454-2288,
Ruby,Alaska,Ruby Community Library,10 Bobby Kennedy Sr. Way,99768,(907) 468-4432,
Russian Mission,Alaska,Russian Mission Community-School Library,2 School Drive,99657,(907) 584-5111,Email
Saint Paul,Alaska,St. Paul Island School-Community Library,930 Tolstol Boulevard,99660,(907) 546-3324,
Sand Point,Alaska,Sand Point Community-School Library,123 Red Cove Road,99661,(907) 383-2393,
Scammon Bay,Alaska,Scammon Bay Public Library,101 Askinuk Street,99662,(907) 558-5400,
Selawik,Alaska,Selawik Davis Community-School Library,119 Tundra Drive,99770,(907) 484-2142,
Seldovia,Alaska,Seldovia Public Library,260 Seldovia Street,99663,(907) 234-7662,
Seward,Alaska,Seward Community Library,238 5th Avenue,99664,(907) 224-4008,
Shageluk,Alaska,Innoko River Community-School Library,101 Pine Street,99665,(907) 473-8206,
Sitka,Alaska,Kettleson Memorial Library,320 Harbor Drive,99835,(907) 747-4021,
Skagway,Alaska,Skagway Public Library,769 State Street,99840,(907) 983-2665,
Soldotna,Alaska,Soldotna Public Library,235 North Binkley Street,99669,(907) 262-4227,
South Naknek,Alaska,South Naknek Branch Library,1 School Road,99670,(907) 246-6513,
St. George,Alaska,St. George Island School-Community Library,p.o. box 905,99591,(907) 546-3324,
Sutton,Alaska,Sutton Public Library,11317 North Jonesville Mine Road,99674,(907) 745-4467,
Sutton,Alaska,Sutton Public Library,11317 N Jonesville Mine Rd,99674,(907) 745-4467,Email
Takotna,Alaska,Takotna Community Library,p.o. box 7529,99675,(907) 298-2212,
Talkeetna,Alaska,Talkeetna Public Library,23151 South Talkeetna Spur Road,99676,(907) 733-2359,Email
Tanana,Alaska,Tanana Community-School Library,89 Front Street,99777,(907) 366-7211,
Tenakee Springs,Alaska,Dermott Otoole Memorial Library,707 West Tenakee Avenue,99841,(907) 736-2248,
Thorne Bay,Alaska,Thorne Bay Public Library,120 Freeman Drive,99919,(907) 828-3303,
Togiak,Alaska,Togiak Public Library And Cultural Center,p.o. box 353,99678,(907) 493-5566,
Tok,Alaska,Tok Community Library,p.o. box 227,99780,(907) 883-5623,
Trapper Creek,Alaska,Trapper Creek Public Library,8901 East Devonshire Drive,99683,(907) 733-1546,Email
Tuluksak,Alaska,Tuluksak School-Community Library,p.o. box 115,99679,(907) 695-5636,
Unalaska,Alaska,Unalaska Public Library,63 Eleanor Drive,99685,(907) 581-5060,
Valdez,Alaska,Valdez Consortium Library,212 Fairbanks Street,99686,(907) 835-4632,
Wainwright,Alaska,Alak Community-School Library,567 Main Street,99782,(907) 763-2541,
Wasilla,Alaska,Big Lake Public Library,3212 South Big Lake Road,99654,(907) 892-6475,
Wasilla,Alaska,Wasilla Meta-Rose Public Library,391 N Main St,99654,(907) 376-5913,Email
Wasilla,Alaska,Wasilla Public Library,391 North Main Street,99654,(907) 373-2242,
Whale Pass,Alaska,Whale Pass Community Library,p.o.box wwp,99950,(907) 846-5226,
White Mountain,Alaska,Naqiaksrat Library,p.o. box 130,99784,(907) 638-3411,
Willow,Alaska,Willow Public Library,23557 West Willow Community Center,99688,(907) 495-7323,Email
Wrangell,Alaska,Irene Ingle Public Library,124 Second Avenue,99929,(907) 874-3535,
Abbeville,Alabama,Abbeville Memorial Library,301 Kirkland Street,36310,(334) 585-2818,
Adamsville,Alabama,Adamsville Public Library,4825 Main Street,35005,(205) 674-3399,
Akron,Alabama,Akron Public Library,207 First Avenue South,35441,(205) 372-3148,
Alabaster,Alabama,Alabaster - Albert L. Scott Library,100 9th Street N.W.,35007,(205) 664-6822,
Albertville,Alabama,Albertville Public Library,200 Jackson Street,35950,(256) 891-8290,
Albertville,Alabama,Marshall County Cooperative Library,600 College Street,35950,(256) 878-8523,
Alexander City,Alabama,Alexander City - Adelia Mcconnell Russell Library,318 Church Street,35010,(256) 329-6796,
Alexander City,Alabama,Mamies Place Childrens Library,284 Church Street,35010,(256) 234-4644,
Aliceville,Alabama,Aliceville Public Library,416 Third Avenue Ne,35442,(205) 373-6691,Email
Andalusia,Alabama,Andalusia Public Library,212 South Three Notch Street,36420,(334) 222-6612,
Anniston,Alabama,Public Library Of Anniston-Calhoun County,108 East 10th Street,36201,(256) 237-8501,
Anniston,Alabama,Public Library Of Anniston-Calhoun County - Carver,722 West 14th Street,36201,(256) 237-7201,
Arab,Alabama,Arab Public Library,325 2nd Street Nw,35016,(256) 586-3366,
Ariton,Alabama,Ariton - Dot Laney Memorial Library,30 W. Main Street,36311,(334) 762-2463,
Arley,Alabama,Arley Public Library,6788 County Road 41,35541,(205) 387-0129,
Ashford,Alabama,Houston-Love Memorial Library - Ashford,305 6th Avenue,36312,(334) 899-3121,Email
Ashland,Alabama,Ashland City Public Library,11 Second Avenue North,36251,(256) 354-3427,
Ashville,Alabama,Ashville Public Library,196 Sixth Avenue,35953,(205) 594-7954,
Ashville,Alabama,St. Clair County Library,139 5th Avenue,35953,(205) 594-3694,
Athens,Alabama,Athens-Limestone Public Library,405 East South Street,35611,(256) 232-1233,
Atmore,Alabama,Atmore Public,700 E. Church Street,36502,(251) 368-5234,
Atmore,Alabama,Escambia County Cooperative Library System,700 East Church Street,36502,(251) 368-4130,
Attalla,Alabama,Etowah County Public Library,604 North 4th Street,35954,(256) 538-9266,
Auburn,Alabama,Auburn Public Library,749 East Thach Avenue,36830,(334) 501-3190,
Autaugaville,Alabama,Autauga Prattville Public Library - Autaugaville,207 North Taylor Street,36003,(334) 365-9322,Email
Bay Minette,Alabama,Bay Minette Public Library,205 West Second Street,36507,(251) 580-1648,
Bessemer,Alabama,Bessemer Public Library,400 19th Street N,35020,(205) 428-7882,
Billingsley,Alabama,Autauga Prattville Public Library - Billingsley,2021 Post Office Street,36006,(205) 755-9809,Email
Birmingham,Alabama,Birmingham Public Library,2100 Park Place,35203,(205) 226-3610,Email
Birmingham,Alabama,Birmingham Public Library - Avondale Regional Library,509 40th Street South,35222,(205) 226-4000,Email
Birmingham,Alabama,Birmingham Public Library - East Ensley,900 14th Street Ensley,35218,(205) 787-1928,Email
Birmingham,Alabama,Birmingham Public Library - East Lake,5 Oporto Madrid Blvd South,35206,(205) 836-3341,Email
Birmingham,Alabama,Birmingham Public Library - Eastwood,,35210,(205) 591-4944,Email
Birmingham,Alabama,Birmingham Public Library - Ensley,1201 25th Street Ensley,35218,(205) 785-2625,Email
Birmingham,Alabama,Birmingham Public Library - Five Points West,4620 Avenue V,35208,(205) 226-4013,Email
Birmingham,Alabama,Birmingham Public Library - Inglenook,4100 40th Terrace North,35217,(205) 849-8739,Email
Birmingham,Alabama,Birmingham Public Library - North Avondale,501 43rd Street N,35222,(205) 592-2082,Email
Birmingham,Alabama,Birmingham Public Library - North Birmingham,2501 31st Avenue North,35207,(205) 226-4025,Email
Birmingham,Alabama,Birmingham Public Library - Powderly,3301 Jefferson Avenue Sw,35221,(205) 925-6178,Email
Birmingham,Alabama,Birmingham Public Library - Pratt City,1100 Hibernian Street,35214,(205) 798-5071,Email
Birmingham,Alabama,Birmingham Public Library - Slossfield,1916 25th Court North,35234,(205) 322-1222,
Birmingham,Alabama,Birmingham Public Library - Smithfield,1 8th Avenue West,35204,(205) 324-8428,Email
Birmingham,Alabama,Birmingham Public Library - Southside,1814 11th Avenue South,35205,(205) 933-7776,Email
Birmingham,Alabama,Birmingham Public Library - Springville Road,1224 Old Springville Road,35235,(205) 226-4081,Email
Birmingham,Alabama,Birmingham Public Library - Titusville,2 6th Avenue Sw,35211,(205) 322-1140,Email
Birmingham,Alabama,Birmingham Public Library - West End,1241 Tuscaloosa Avenue Sw,35211,(205) 226-4089,Email
Birmingham,Alabama,Birmingham Public Library - Woodlawn,5709 First Avenue North,35212,(205) 595-2001,Email
Birmingham,Alabama,Birmingham Public Library - Wylam,4300 7th Avenue Wylam,35224,(205) 785-0349,Email
Birmingham,Alabama,North Shelby Library,5521 Cahaba Valley Road,35242,(205) 439-5555,Email
Blountsville,Alabama,Blountsville Public Library,65 Chestnut Street,35031,(205) 429-3156,
Boaz,Alabama,Boaz Public Library,404 Thomas Ave.,35957,(256) 593-8056,
Brantley,Alabama,Brantley Public Library,10 Mlk Dr.,36009,(334) 527-8624,
Brewton,Alabama,Brewton Public Library,206 West Jackson Street,36426,(251) 867-4626,
Bridgeport,Alabama,Bridgeport - Lena Cagle Public Library,401 Alabama Avenue,35740,(256) 495-2259,
Brundidge,Alabama,Brundidge - Tupper Lightfoot Memorial Library,164 South Main Street,36010,(334) 735-2145,
Butler,Alabama,Choctaw County Public Library,124 North Academy Avenue,36904,(205) 459-2542,Email
Butler,Alabama,Choctaw County Public Library - Gilbertown,,36908,(334) 843-2885,
Butler,Alabama,Choctaw County Public Library - Silas,,36919,(251) 542-9379,
Calera,Alabama,Calera Public Library,9700 Highway 25,35040,(205) 668-3514,
Camden,Alabama,Wilcox County Library,100 Broad Street,36726,(334) 682-4355,
Carbon Hill,Alabama,Carbon Hill City Library,215 Nw 2nd Street,35549,(205) 924-4254,
Carrollton,Alabama,Carrollton Public Library,225 Commerce Avenue,35447,(205) 367-2142,Email
Carrollton,Alabama,Pickens County Cooperative Library,155 Reform Street,35447,(205) 367-8407,
Centre,Alabama,Cherokee County Public Library,310 Mary Street,35960,(256) 927-5838,
Centreville,Alabama,Brent-Centreville Public Library,20 Library Street,35042,(205) 926-4736,
Chatom,Alabama,Washington County Public Library,14102 St. Stephens Ave.,36518,(251) 847-2097,Email
Chelsea,Alabama,Chelsea Public Library,11611 Chelsea Road,35043,(205) 678-8455,
Cherokee,Alabama,Cherokee Public Library,118 Church Street,35616,(256) 359-4384,
Chickasaw,Alabama,Chickasaw - Ina Pullen Smallwood Memorial Library,224 Grant Street,36611,(251) 452-6465,
Childersburg,Alabama,Childersburg - Earle A. Rainwater Memorial Library,124 Ninth Avenue Sw,35044,(256) 378-7239,
Citronelle,Alabama,Citronelle Memorial Library,7855 State Street,36522,(251) 866-7319,
Clanton,Alabama,Clanton Public Library,100 First Avenue,35045,(205) 755-1768,
Clayton,Alabama,Clayton Town And County Public Library,45 North Midway Street,36016,(334) 775-3506,
Clio,Alabama,Elton B. Stephens Library,17 School Street,36017,(334) 397-2911,
Collinsville,Alabama,Collinsville Public Library,4299 Alabama Highway 68,35961,(256) 524-2323,
Columbia,Alabama,Houston-Love Memorial Library - Columbia,200 S Main St,36319,(334) 696-4417,Email
Columbiana,Alabama,Columbiana Public Library,50 Lester Street,35051,(205) 669-5812,
Columbiana,Alabama,Harrison Regional Library System,50 Lester Street,35051,(205) 669-3910,
Cordova,Alabama,Cordova Public Library,84 Main St.,35550,(205) 483-9578,
Courtland,Alabama,Courtland Public Library,215 College Street,35618,(256) 637-9988,
Crane Hill,Alabama,Crane Hill Community Library,14538 County Rd. 222,35053,(256) 747-6509,
Crossville,Alabama,Crossville Public Library,80 Gaines Street,35962,(256) 528-2628,
Cullman,Alabama,Cullman County Public Library System,200 Clark Street Ne,35055,(256) 734-1068,
Cullman,Alabama,Fairview Public Library,7525 Alabama Hwy 69n,35058,(256) 796-5424,
Dadeville,Alabama,Dadeville Public Library,205 North West Street,36853,(256) 825-7820,
Dadeville,Alabama,Horseshoe Bend Regional Library,207 North West Street,36853,(256) 825-9232,
Daleville,Alabama,Daleville Public Library,308 Donnell Boulevard,36322,(334) 503-9119,
Daphne,Alabama,Daphne Public Library,2607 U.S. Highway 98,36526,(251) 621-2818,
Decatur,Alabama,Decatur Public Library,"504 Cherry St., Ne",35601,(256) 353-2993,
Decatur,Alabama,Wheeler Basin Regional Library,504 Cherry Street Ne,35601,(256) 353-2993,
Demopolis,Alabama,Demopolis Public Library,211 E. Washington Street,36732,(334) 289-1595,
Dora,Alabama,Dora Public Library,1485 Sharon Blvd,35062,(205) 648-3211,
Dothan,Alabama,Houston-Love Memorial Library - Dothan,212 West Burdeshaw Street,36303,(334) 793-9767,Email
Double Springs,Alabama,Double Springs Public Library,637 Blake Drive,35553,(205) 489-2412,
Dutton,Alabama,Dutton Public Library,23 Main Street,35744,(256) 228-4090,
Eight Mile,Alabama,Mitchell Branch Library,4440 Highpoint Boulevard,36613,(251) 452-7846,
Elba,Alabama,Elba Public Library,406 Simmons Street,36323,(334) 897-6921,
Enterprise,Alabama,Enterprise Public Library,101 East Grubbs Street,36330,(334) 347-2636,
Eufaula,Alabama,Eufaula Carnegie Library,217 North Eufaula Avenue,36027,(334) 687-2337,
Eufaula,Alabama,Mccoo Memorial Childrens Library,217 North Eufaula Avenue,36027,(334) 687-5974,
Eutaw,Alabama,James C. Poole Jr. Memorial Library,420 Prairie Avenue,35462,(205) 372-9026,
Eva,Alabama,Eva Public Library,4549 Highway 55 East,35621,(256) 796-8638,
Evergreen,Alabama,Evergreen Public Library,119 Cemetery Avenue,36401,(251) 578-2670,
Fairfield,Alabama,Walter J. Hanna Memorial Library,4615 Gary Avenue,35064,(205) 783-6007,
Fairfield,Alabama,Western Hills Mall Branch,,35064,(205) 923-1150,
Fairhope,Alabama,Fairhope Public Library,501 Fairhope Ave.,36532,(251) 928-7483,
Falkville,Alabama,Falkville Public Library,7 North 1st Ave.,35622,(256) 784-5822,
Fayette,Alabama,Fayette County Memorial Library,326 Temple Avenue North,35555,(205) 932-6625,
Flomaton,Alabama,Flomaton Public Library,608 Mccurdy Street,36441,(251) 296-3552,
Florala,Alabama,Florala Public Library,1214 Fourth Street,36442,(334) 858-3525,
Florence,Alabama,Florence-Lauderdale Public Library,350 North Wood Avenue,35630,(256) 764-6564,
Foley,Alabama,Foley Public Library,319 East Laurel Avenue,36535,(251) 943-7665,
Fort Deposit,Alabama,Fort Deposit Public Library,24 South Pollard St,36032,(334) 404-4400,
Fort Payne,Alabama,Dekalb County Public Library,504 Grand Avenue Nw,35967,(256) 845-2671,
Fultondale,Alabama,Fultondale Public Library,1015 Old Walkers Chapel Road,35068,(205) 849-6335,Email
Gadsden,Alabama,Carver Memorial Library,1030 Tuscaloosa Avenue,35901,(205) 549-4690,
Gadsden,Alabama,East Gadsden Branch Library,919 Wilson Avenue,35903,(205) 549-4691,
Gadsden,Alabama,Gadsden Public Library,254 College Street,35901,(256) 549-4699,
Gadsden,Alabama,Hoyt Warsham Alabama City Branch Library,2700 West Meighan,35904,(256) 549-4688,
Garden City,Alabama,Garden City Public Library,501 1st Avenue South,35070,(256) 352-4552,
Gardendale,Alabama,Gardendale Martha Moore Public Library,995 Mt. Olive Road,35071,(205) 631-6639,
Geneva,Alabama,Emma Knox Kenan Public Library,312 South Commerce Street,36340,(334) 684-2459,
Geraldine,Alabama,Geraldine Public Library,13543 Alabama Highway 227,35974,(256) 659-6663,
Goodwater,Alabama,Goodwater Public Library,36 Weogufka Street,35072,(256) 839-5741,
Gordo,Alabama,Ruth Holliman Memorial Public Library,287 Main Street South,35466,(205) 364-7148,Email
Grant,Alabama,Grant Public Library,5379 Main Street,35747,(256) 728-5128,
Graysville,Alabama,Graysville Public Library,315 South Main Street,35073,(205) 674-3040,Email
Green Pond,Alabama,Woodstock Library,321 Presbyterian Church Road,35074,(205) 938-0008,
Greensboro,Alabama,Hale County Library,1103 Main Street,36744,(334) 624-3409,
Greenville,Alabama,Butler County Public Library,309 Ft. Dale Street,36037,(334) 382-3216,
Grove Hill,Alabama,Grove Hill Public Library,108 Dubose Avenue,36451,(251) 275-8157,
Guin,Alabama,Mchs Community Library,8115 U.S. Highway 43,35563,(205) 468-2544,
Gulf Shores,Alabama,Thomas B. Norton Public Library,221 West 19th Avenue,36542,(251) 968-1176,
Guntersville,Alabama,Guntersville Public Library,1240 Obrig Avenue,35976,(256) 571-7595,
Gurley,Alabama,Gurley Public Library,331 Walker Street,35748,(256) 776-2102,
Haleyville,Alabama,Haleyville Public Library,913 20th Street,35565,(205) 486-7450,
Hamilton,Alabama,Clyde Nix Public Library,350 Bexar Avenue West,35570,(205) 921-4290,
Hanceville,Alabama,Hanceville Public Library,108 Main Street,35077,(256) 352-9830,
Hanceville,Alabama,Tom Bevel Branch,115 Byars Road,35077,(205) 287-1198,
Harpersville,Alabama,Harpersville Public Library,39397 Alabama 25,35078,(205) 672-8336,
Hartford,Alabama,Hartford - Mcgregor-Mckinney Public Library,101 East Fulton St.,36344,(334) 588-2384,
Hartselle,Alabama,Hartselle - William Bradford Huie Public Library,152 Sparkman Street Nw,35640,(256) 773-9880,
Hayneville,Alabama,Hayneville-Lowndes County Public Library,4 Washington Street,36040,(334) 548-2686,
Hazel Green,Alabama,Tillman Hill Branch Library,131 Knowledge Drive,35750,(256) 828-9529,
Headland,Alabama,Blanche R. Solomon Memorial Library,17 Park Street,36345,(334) 693-2706,
Heflin,Alabama,Cheaha Regional Library,935 Coleman Street,36264,(256) 463-7125,
Heflin,Alabama,Lucile L. Morgan Public Library,541 Ross Street,36264,(256) 463-2259,
Helena,Alabama,Jane B. Holmes Public Library,230 Tucker Road,35080,(205) 664-8308,
Henagar,Alabama,Henagar Public Library,17163 Al Highway 75,35978,(256) 657-1380,
Hokes Bluff,Alabama,Hokes Bluff - Rufus Floyd Public Library,3310 Alfords Bend Road,35903,(256) 492-9846,
Homewood,Alabama,Homewood Public Library,1721 Oxmoor Road,35209,(205) 332-6600,Email
Hoover,Alabama,Hoover Public Library,200 Municipal Drive,35216,(205) 444-7810,Email
Hueytown,Alabama,Hueytown Public Library,1372 Hueytown Road,35023,(205) 491-1443,Email
Huntsville,Alabama,Bailey Cove Branch Library,1409 Weatherly Plaza,35803,(256) 881-0257,
Huntsville,Alabama,Bessie K. Russell Branch Library,3011-C Sparkman Drive,35810,(256) 859-9050,
Huntsville,Alabama,Blue Spring Branch,4600 Blue Spring Road,35810,(256) 851-7492,
Huntsville,Alabama,Eleanor E. Murphy Branch Library,7910 Charlotte Drive,35802,(256) 881-5620,
Huntsville,Alabama,Huntsville-Madison County Public Library,915 Monroe Street,35801,(256) 532-5950,
Huntsville,Alabama,Oscar Mason Branch,149 Mason Court,35805,(256) 535-2272,
Ider,Alabama,Ider Public Library,10808 Alabama Highway 75,35981,(256) 657-2170,
Irondale,Alabama,Irondale Public Library,105 Twentieth Street South,35210,(205) 951-1415,
Irvington,Alabama,City Of Bayou La Batre Public Library,12747 Padgett Switch Road,36509,(251) 824-4213,
Jackson,Alabama,White Smith Memorial Library,213 College Avenue,36545,(251) 246-4962,
Jacksonville,Alabama,Jacksonville Public Library,200 Pelham Road South,36265,(256) 435-6332,
Jasper,Alabama,Carl Elliott Regional Library System,98 18th Street East,35501,(205) 221-2568,
Jasper,Alabama,Jasper Public Library,98 East 18th Street,35501,(205) 221-8512,
Jemison,Alabama,Jemison Public Library,,,(205) 688-4492,
Kennedy,Alabama,Kennedy Public Library,17885 Hwy. 96,35574,(205) 596-3670,
Killen,Alabama,Killen Public Library,325 J. C. Mauldin Highway,35645,(256) 757-5471,
Lafayette,Alabama,Lafayette Pilot Public Library,"198 First Street, Se",36862,(334) 864-0012,
Leeds,Alabama,Jane Culbreth Library,8104 Parkway Drive,35094,(205) 699-5962,
Leighton,Alabama,Leighton Public Library,8740 Main Street,35646,(256) 446-5380,
Lexington,Alabama,Burchell Campbell Memorial Library,11075 Highway 101,35648,(256) 229-5579,
Lincoln,Alabama,Lincoln Public Library,49 Complex Drive,35096,(205) 763-7777,
Linden,Alabama,Marengo County Public Library,507 North Main,36748,(334) 295-2246,
Lineville,Alabama,Lineville Public Library,60119 Highway 49,36266,(256) 396-5162,
Livingston,Alabama,Ruby Pickens Tartt Public Library,206 Monroe Street,35470,(205) 652-2349,
Louisville,Alabama,Louisville Public Library,1951 Main St.,36048,(334) 266-5210,
Loxleyabama,Alabama,Loxley Public Library,1001 Loxley Avenue,36551,(251) 964-5695,
Luverne,Alabama,Luverne Public Library,148 East Third Avenue,36049,(334) 335-5326,
Madison,Alabama,Madison Public Library,130 Plaza Drive,35758,(256) 461-2246,
Madison,Alabama,Monrovia Branch,1962 Jeff Road,35757,(256) 837-6153,
Madison,Alabama,Triana Branch Library,280 Zierdt Road,35756,(256) 461-7598,
Maplesville,Alabama,Maplesville Public Library,9400 Al Highway 22,36750,(334) 366-4211,
Marbury,Alabama,Autauga Prattville Public Library - Marbury,205 County Road 20 East,36051,(205) 755-8575,Email
Marion,Alabama,Marion-Perry County Library,202 Washington Street,36756,(334) 683-6411,
Mcintosh,Alabama,Mcintosh Public Library,"83 Olin Road, Mcintosh",36553,(251) 944-2047,
Midfield,Alabama,Midfield Public Library,400 Breland Drive,35228,(205) 923-1027,
