StateAbr	LibID	LibName	Address	City	Zip	Zip4	County	Phone	WebAddr	PopLSA	TotStaff	TotInc	BookVol	Visits	TotCirc	GPTerms	PITUsr	Long	Lat	CountyPop	LocaleCode	CongDist
AK	AK0030	TRI-VALLEY COMMUNITY LIBRARY                                	400 SUNTRANA STREET                	HEALY               	99743	518	DENALI              	9076832507	www.dbsd.org/                                                                   	1025	0.6	25850	24654	6404	18988	9	1545	-148.563331	64.014	1848	43	0
AK	AK0031	HOLLIS PUBLIC LIBRARY                                       	NO. 1 HOLLIS SCHOOL ROAD           	HOLLIS              	99950	5	PR WALES-OUTER KE   	9075307112	www.princeofwalesonline.com/hollis_library.html                                 	172	0	10858	17200	1600	4550	3	1000	-132.878786	55.76289	5533	43	0
AK	AK0032	HOMER PUBLIC LIBRARY                                        	500 HAZEL AVENUE                   	HOMER               	99603	7849	KENAI PENINSULA     	9072353180	library.ci.homer.ak.us/                                                         	5390	6.9	629909	35931	133186	98815	19	40041	-151.544372	59.63993	53409	43	0
AK	AK0033	HOPE PUBLIC LIBRARY                                         	18487 A AVENUE                     	HOPE                	99605	127	KENAI PENINSULA     	9077823121	-3	-3	-3	-3	-3	-3	-3	-3	-3	-149.636592	60.916201	53409	42	0
AK	AK0035	JUNEAU PUBLIC LIBRARIES                                     	292 MARINE WAY                     	JUNEAU              	99801	1361	JUNEAU              	9075865324	www.juneau.org/library/                                                         	40138	20.4	2266500	118523	397401	219996	45	44871	-134.400041	58.29759	30988	33	0
AK	AK0037	KASILOF PUBLIC LIBRARY                                      	58200 STERLING HIGHWAY             	KASILOF             	99610	176	KENAI PENINSULA     	9072524097	-3	560	0.25	12638	14622	3080	5422	1	210	-151.225689	60.3424	53409	43	0
AK	AK0038	KENAI COMMUNITY LIBRARY                                     	163 MAIN STREET LOOP               	KENAI               	99611	7723	KENAI PENINSULA     	9072834378	www.kenailibrary.org/                                                           	7134	6	629849	78136	97802	115232	15	23110	-151.244012	60.55813	53409	33	0
AK	AK0039	KETCHIKAN PUBLIC LIBRARY                                    	629 DOCK STREET                    	KETCHIKAN           	99901	6589	KETCHIKAN GATEWAY   	9072253331	www.firstcitylibraries.org/                                                     	12993	12.3	1075208	59651	132940	160698	5	9809	-131.650775	55.34479	13142	33	0
AK	AK0040	A. HOLMES JOHNSON MEMORIAL LIBRARY                          	319 LOWER MILL BAY ROAD            	KODIAK              	99615	7341	KODIAK ISLAND       	9074868688	www.city.kodiak.ak.us/library/                                                  	12972	7.5	713608	68894	149572	95667	10	51324	-152.398502	57.79393	13049	33	0
AK	AK0041	CHUKCHI CONSORTIUM LIBRARY                                  	604 THIRD STREET                   	KOTZEBUE            	99752	297	NORTHWEST ARCTIC    	9074422410	www.chukchi.alaska.edu/users/zycclib/                                           	3972	1.88	169034	13108	19100	8595	5	7408	-162.587444	66.89788	7502	33	0
AK	AK0044	MCGRATH COMMUNITY SCHOOL LIBRARY                            	CHINANA AVENUE                     	MCGRATH             	99627	249	YUKON-KOYUKUK       	9075243843	-3	317	0.5	27767	12141	3056	1997	4	2240	-154.958831	62.94694	5701	43	0
AK	AK0046	CENTENNIAL LIBRARY                                          	4TH & MILTON STREET                	METLAKATLA          	99926	7	PR WALES-OUTER KE   	9078866015	-3	1318	0.57	51533	8978	1815	1891	2	712	-131.582243	55.13203	5533	43	0
AK	AK0047	MARTIN MONSEN REGIONAL LIBRARY                              	101 MAIN STREET                    	NAKNEK              	99633	147	BRISTOL BAY         	9072464465	M                                                                               	1029	3	220891	15820	8644	6191	6	4854	-156.710141	58.84785	953	43	0
AK	AK0048	NENANA PUBLIC LIBRARY                                       	201 EAST SECOND STREET             	NENANA              	99760	40	YUKON-KOYUKUK       	9078325812	nenanalibrary.com/                                                              	347	1	103343	8406	7940	7842	5	4160	-149.092702	64.56222	5701	43	0
AK	AK0051	NINILCHIK COMMUNITY LIBRARY                                 	15850 STERLING HIGHWAY             	NINILCHIK           	99639	165	KENAI PENINSULA     	9075673333	-3	853	0.38	23902	12412	7161	16869	3	1912	-151.691726	60.0275	53409	43	0
AK	AK0052	KEGOAYAH KOZGA LIBRARY                                      	223 FRONT STREET                   	NOME                	99762	1168	NOME                	9074436628	M                                                                               	3570	2.08	202702	16059	20000	6581	4	10296	-165.40543	64.49731	9261	33	0
AK	AK0053	NORTHWAY COMMUNITY/SCHOOL LIBRARY                           	MILE 5 NORTHWAY ROAD               	NORTHWAY            	99764	496	SE FAIRBANK         	9077782287	-3	88	0.6	12350	2827	1000	1400	2	350	-141.945631	62.94483	6753	43	0
AK	AK0055	PALMER PUBLIC LIBRARY                                       	655 SOUTH VALLEY WAY               	PALMER              	99645	6667	MATANUSKA-SUSITNA   	9077454690	cityofpalmer.org/library/                                                       	26450	9.5	601728	54729	101577	128263	8	21801	-149.113741	61.59847	85458	32	0
AK	AK0056	PELICAN PUBLIC LIBRARY                                      	166 SALMON WAY                     	PELICAN             	99832	712	SKAGWAY-ANGOON      	9077352500	-3	113	0.4	22690	10304	4397	9798	2	1268	-136.135508	58.10796	-1	43	0
AK	AK0057	PETERSBURG PUBLIC LIBRARY                                   	12 SOUTH NORDIC DRIVE              	PETERSBURG          	99833	549	WRANGELL-PETERSBU   	9077723349	www.psglib.org/                                                                 	3036	3.2	288062	27058	50622	73995	3	8703	-132.958255	56.80848	5910	33	0
AK	AK0058	JESSIE WAKEFIELD MEMORIAL LIBRARY                           	207 SPRUCE DRIVE                   	PORT LIONS          	99550	49	KODIAK ISLAND       	9074542288	-3	190	0.38	27749	12471	2197	609	4	1885	-152.883298	57.87453	13049	43	0
AK	AK0060	RUBY COMMUNITY LIBRARY                                      	10 BOBBY KENNEDY SR. WAY           	RUBY                	99768	10	YUKON-KOYUKUK       	9074684432	-3	-3	-3	-3	-3	-3	-3	-3	-3	-155.71915	64.400047	5701	43	0
AK	AK0061	ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY                    	930 TOLSTOL BOULEVARD              	SAINT PAUL          	99660	905	ALEUTIANS WEST      	9075463324	-3	450	0.6	40880	13760	5408	4178	14	2504	-170.27885	57.18359	4529	43	0
AK	AK0064	SELDOVIA PUBLIC LIBRARY                                     	260 SELDOVIA STREET                	SELDOVIA            	99663	275	KENAI PENINSULA     	9072347662	seldovialibrary.wordpress.com/                                                  	257	0	8695	9451	3268	5038	2	683	-151.531478	59.64462	53409	43	0
AK	AK0065	SEWARD COMMUNITY LIBRARY                                    	238 5TH AVENUE                     	SEWARD              	99664	2389	KENAI PENINSULA     	9072244008	library.cityofseward.net/library/                                               	2619	4.5	391437	28667	89945	66921	11	11227	-149.438759	60.10178	53409	43	0
AK	AK0067	KETTLESON MEMORIAL LIBRARY                                  	320 HARBOR DRIVE                   	SITKA               	99835	7570	SITKA               	9077474021	M                                                                               	8615	7.45	850166	65257	184964	138621	10	55002	-135.334496	57.04958	8889	33	0
AK	AK0068	SKAGWAY PUBLIC LIBRARY                                      	769 STATE STREET                   	SKAGWAY             	99840	394	SKAGWAY-ANGOON      	9079832665	skagwaylibrary.blogspot.com/                                                    	846	1.8	178712	10202	14736	14233	3	6523	-135.308005	59.46061	-1	43	0
AK	AK0069	SOLDOTNA PUBLIC LIBRARY                                     	235 NORTH BINKLEY STREET           	SOLDOTNA            	99669	7523	KENAI PENINSULA     	9072624227	www.ci.soldotna.ak.us/library.html/                                             	4061	4	380562	45048	90988	102936	6	15768	-151.072559	60.49234	53409	33	0
AK	AK0070	SUTTON PUBLIC LIBRARY                                       	11317 NORTH JONESVILLE MINE ROAD   	SUTTON              	99674	266	MATANUSKA-SUSITNA   	9077454467	www.matsulibraries.org/sutton/                                                  	3538	1.63	186488	13471	9152	13682	3	2935	-148.943896	61.7554	85458	43	0
AK	AK0071	TAKOTNA COMMUNITY LIBRARY                                   	RIVERSIDE DRIVE                    	TAKOTNA             	99675	7529	YUKON-KOYUKUK       	9072982212	-3	46	0.38	35396	2757	1156	1078	2	750	-156.124971	62.97515	5701	43	0
AK	AK0072	TALKEETNA PUBLIC LIBRARY                                    	23151 SOUTH TALKEETNA SPUR ROAD    	TALKEETNA           	99676	768	MATANUSKA-SUSITNA   	9077332359	www.matsulibraries.org/talkeetna/                                               	4716	2.1	186435	12186	26000	23692	6	10114	-149.889417	62.17843	85458	43	0
AK	AK0073	TANANA COMMUNITY/SCHOOL LIBRARY                             	89 FRONT STREET                    	TANANA              	99777	7109	YUKON-KOYUKUK       	9073667211	-3	252	0.75	21273	12150	2230	3010	4	1700	-151.892209	65.3268	5701	43	0
AK	AK0074	DERMOTT O'TOOLE MEMORIAL LIBRARY                            	707 WEST TENAKEE AVENUE            	TENAKEE SPRINGS     	99841	35	SKAGWAY-ANGOON      	9077362248	-3	99	0.25	13816	6097	1172	2040	1	196	-135.212133	57.77754	-1	43	0
AK	AK0075	TOK COMMUNITY LIBRARY                                       	MILE 1314 ALASKA HIGHWAY           	TOK                 	99780	227	SE FAIRBANK         	9078835623	-3	1382	0	14453	13288	1525	2030	1	781	-142.249751	63.9214	6753	43	0
AK	AK0077	VALDEZ CONSORTIUM LIBRARY                                   	212 FAIRBANKS STREET               	VALDEZ              	99686	609	VALDEZ-CORDOVA      	9078354632	www.ci.valdez.ak.us/library/                                                    	3635	3.79	367400	45074	30703	21010	6	10015	-146.353761	61.12918	9362	43	0
AK	AK0078	WASILLA PUBLIC LIBRARY                                      	391 NORTH MAIN STREET              	WASILLA             	99654	7085	MATANUSKA-SUSITNA   	9073732242	www.cityofwasilla.com/library/                                                  	29902	9.4	780945	49675	84096	139531	7	16690	-149.441507	61.58256	85458	32	0
AK	AK0080	WILLOW PUBLIC LIBRARY                                       	23557 WEST WILLOW COMMUNITY CENTER 	WILLOW              	99688	129	MATANUSKA-SUSITNA   	9074957323	www.matsulibraries.org/willow/                                                  	6788	2.4	246328	21856	27349	28527	8	9195	-150.98442	61.67003	85458	43	0
AK	AK0081	IRENE INGLE PUBLIC LIBRARY                                  	124 SECOND AVENUE                  	WRANGELL            	99929	679	WRANGELL            	9078743535	www.wrangell.com/                                                               	2112	2.5	216069	35979	26676	29744	4	7999	-132.378872	56.45098	5910	43	0
AK	AK0082	AKIAK SCHOOL/COMMUNITY LIBRARY                              	1 KILBUCK ROAD                     	AKIAK               	99552	49	BETHEL              	9077654631	www.yupiit.org/resources/libraries.html                                         	341	0.4	22223	7600	3979	3457	1	589	-161.191724	60.88718	17236	43	0
AK	AK0085	FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY                    	MILE 5 EDGERTON HIGHWAY            	KENNY LAKE          	99573	9704	VALDEZ-CORDOVA      	9078223015	M                                                                               	430	0	12727	6670	3338	2816	2	798	-143.873988	61.66443	9362	43	0
AK	AK0087	KOYUK PUBLIC LIBRARY                                        	BIRCH STREET                       	KOYUK               	99753	69	NOME                	9079633441	-3	-3	-3	-3	-3	-3	-3	-3	-3	-161.148928	64.939392	9261	43	0
AK	AK0091	TULUKSAK SCHOOL/COMMUNITY LIBRARY                           	PHILLIP STREET                     	TULUKSAK            	99679	115	BETHEL              	9076955636	www.yupiit.org/Resources/libraries.html                                         	500	0.5	33350	8320	4155	8300	2	720	-160.95319	61.10831	17236	43	0
AK	AK0092	NAQIAKSRAT LIBRARY                                          	ROCKY ROAD & FISH RIVER ROAD       	WHITE MOUNTAIN      	99784	130	NOME                	9076383411	-3	191	0.3	21024	5629	3203	2061	1	15	-162.561429	65.00544	9261	43	0
AK	AK0094	TUZZY CONSORTIUM LIBRARY                                    	5421 NORTH STAR STREET             	BARROW              	99723	2130	NORTH SLOPE         	9078524050	www.tuzzy.org                                                                   	6692	15	1186644	50768	59822	20607	11	17132	-156.75342	71.29845	6615	43	0
AK	AK0095	AKIACHAK SCHOOL/COMMUNITY LIBRARY                           	1 MAIN STREET                      	AKIACHAK            	99551	190	BETHEL              	9078253600	www.yupiit.org/resources/libraries.html                                         	659	0.6	17776	10210	5656	2169	2	2005	-161.409778	60.8781	17236	43	0
AK	AK0097	ESTHER GREENWALD LIBRARY                                    	366 GARTEENI HIGHWAY               	HOONAH              	99829	157	SKAGWAY-ANGOON      	9079453611	-3	823	1.13	73550	20703	15150	8056	7	7350	-135.437574	58.10915	-1	43	0
AK	AK0099	MOOSE PASS PUBLIC LIBRARY                                   	200 DEPOT ROAD                     	MOOSE PASS          	99631	154	KENAI PENINSULA     	9072883111	-3	186	0	8278	5686	2856	6727	2	406	-149.508366	60.52465	53409	43	0
AK	AK0100	NIKOLAI COMMUNITY/SCHOOL LIBRARY                            	TOP OF THE KUSKOKWIM SCHOOL BUILDIN	NIKOLAI             	99691	9091	YUKON-KOYUKUK       	9072932427	-3	90	0.25	13359	4100	2000	480	8	950	-154.374475	63.00669	5701	43	0
AK	AK0101	SAND POINT COMMUNITY/SCHOOL LIBRARY                         	123 RED COVE ROAD                  	SAND POINT          	99661	269	ALEUTIANS EAST      	9073832393	-3	958	0.38	53050	5600	26000	28298	17	11500	-160.487593	55.34761	2810	43	0
AK	AK0102	EGEGIK VILLAGE LIBRARY                                      	289 AIRPORT WAY                    	EGEGIK              	99579	29	LAKE AND PENINSULA  	9072332211	-3	62	0.4	13350	5161	1060	2321	1	300	-157.335327	58.17839	1488	43	0
AK	AK0103	TRAPPER CREEK PUBLIC LIBRARY                                	8901 EAST DEVONSHIRE DRIVE         	TRAPPER CREEK       	99683	388	MATANUSKA-SUSITNA   	9077331546	www.matsulibraries.org/trappercreek/                                            	1441	0.99	96636	12526	3547	6351	5	1448	-150.321414	61.41243	85458	42	0
AK	AK0104	HOLY CROSS COMMUNITY/SCHOOL LIBRARY                         	210 TRAILWAY STREET                	HOLY CROSS          	99602	210	YUKON-KOYUKUK       	9074767131	-3	194	0.25	13350	4503	1000	1108	5	515	-160.443036	62.22932	5701	43	0
AK	AK0113	OUZINKIE TRIBAL MEDIA CENTER                                	130 THIRD STREET                   	OUZINKIE            	99644	130	KODIAK ISLAND       	9076802323	-3	167	0.65	16215	2323	3540	1311	6	1800	-152.508261	57.92122	13049	42	0
AK	AK0114	ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY                  	NO. 1 ELEMENTARY SCHOOL ROAD       	ST. GEORGE          	99591	959	ALEUTIANS WEST      	9075463324	-3	112	0.25	25709	4827	1440	441	4	544	-169.619142	56.58272	4529	43	0
AK	AK0115	UNALASKA PUBLIC LIBRARY                                     	63 ELEANOR DRIVE                   	UNALASKA            	99685	1370	ALEUTIANS WEST      	9075815060	www.unalaska-ak.us/                                                             	3551	4.5	555390	30323	105015	144999	14	66159	-166.529689	53.87054	4529	41	0
AK	AK0116	ANIAK PUBLIC LIBRARY                                        	270 RIVERFRONT DRIVE               	ANIAK               	99557	270	BETHEL              	9076754435	-3	494	0.25	16402	4300	2600	1544	4	1800	-156.683203	61.4908	17236	43	0
AK	AK0117	HYDER PUBLIC LIBRARY                                        	50 MAIN STREET                     	HYDER               	99923	50	PR WALES-OUTER      	2506369148	-3	94	0	12350	7311	1250	1014	2	275	-130.036515	55.92994	5533	43	0
AK	AK0120	INNOKO RIVER COMMUNITY/SCHOOL LIBRARY                       	101 PINE STREET                    	SHAGELUK            	99665	49	YUKON-KOYUKUK       	9074738206	shx.schoolaccess.net/                                                           	102	0.5	14338	3774	2000	1041	3	1250	-159.798143	62.64145	5701	43	0
AK	AK0121	ANVIK COMMUNITY/SCHOOL LIBRARY                              	1 AIRPORT ROAD                     	ANVIK               	99558	90	YUKON-KOYUKUK       	9076636348	-3	84	0.25	13350	3947	1240	477	4	900	-160.128556	63.27254	5701	43	0
AK	AK0122	GRAYLING COMMUNITY/SCHOOL LIBRARY                           	DAVID LOUIS SCHOOL BUILDING        	GRAYLING            	99590	90	YUKON-KOYUKUK       	9074535135	-3	152	0.25	13614	6512	1315	503	3	860	-159.683027	64.07926	5701	43	0
AK	AK0123	KLAWOCK PUBLIC LIBRARY                                      	615 NORTH PARK STREET              	KLAWOCK             	99925	469	PR WALES-OUTER      	9077552261	-3	-3	-3	-3	-3	-3	-3	-3	-3	-132.958135	55.554748	5533	43	0
AK	AK0124	LAKE MINCHUMINA COMMUNITY LIBRARY                           	123 AIRPORT WAY                    	LAKE MIN            	99757	50	YUKON-KOYUKUK       	9076743211	lma.mystarband.net/                                                             	17	0	7628	3935	788	2627	2	618	-152.385396	63.8005	5701	43	0
AK	AK0126	IGIUGIG TRIBAL LIBRARY                                      	1 AIRPORT ROAD                     	IGIUGIG             	99613	4008	LAKE AND PENINSULA  	9075333211	-3	40	0.36	20027	7228	1016	1495	6	540	-156.48296	58.73102	1488	43	0
AK	AK0127	COFFMAN COVE COMMUNITY LIBRARY                              	106 DENALI ALLEY                   	COFFMAN COVE        	99918	135	PR WALES-OUTER KE   	9073292233	-3	141	0	14200	12519	4932	4961	4	3444	-131.696402	55.35655	5533	33	0
AK	AK0129	MOUNTAIN VILLAGE PUBLIC LIBRARY                             	1 SAINT MARY'S HIGHWAY             	MOUNTAIN VILLAGE    	99632	85	WADE HAMPTON        	9075912970	-3	765	0	11650	4400	870	1480	0	0	-164.537503	62.1696	7717	43	0
AK	AK0130	THORNE BAY PUBLIC LIBRARY                                   	120 FREEMAN DRIVE                  	THORNE BAY          	99919	489	PR WALES-OUTER KE   	9078283303	-3	440	0.43	26993	4140	2417	3924	2	988	-132.52418	55.68823	5533	43	0
AK	AK0133	PILOT POINT TRIBAL LIBRARY                                  	2200 MAIN STREET                   	PILOT POINT         	99649	449	LAKE AND PENINSULA  	9077972208	-3	72	0.43	16350	1317	1357	1396	1	810	-157.384464	57.52567	1488	43	0
AK	AK0134	WHALE PASS COMMUNITY LIBRARY                                	BEACH ROAD LOT 3 BLOCK 14          	WHALE PASS          	99950	2080	PR WALES-OUTER KE   	9078465226	-3	48	0	9168	4787	1360	1798	2	801	-132.878786	55.76289	5533	43	0
AK	AK0135	TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER                   	SECOND AVENUE AND G STREET         	TOGIAK              	99678	353	DILLINGHAM          	9074935566	-3	802	0	29650	6100	832	855	2	235	-160.391925	59.06007	4933	43	0
AK	AK0136	SCAMMON BAY PUBLIC LIBRARY                                  	101 ASKINUK STREET                 	SCAMMON BAY         	99662	110	WADE HAMPTON        	9075585400	-3	533	0	12350	3500	1000	150	1	600	-165.080055	61.79161	7717	43	0
AL	AL0001	CARL ELLIOTT REGIONAL LIBRARY SYSTEM                        	98 18TH STREET EAST                	JASPER              	35501	5491	WALKER              	2052212568	www.youseemore.com/cerl                                                         	65686	3.5	240261	3926	221158	2092	3	3687	-87.273906	33.83339	68970	32	4
AL	AL0002	ARLEY PUBLIC LIBRARY                                        	6788 COUNTY ROAD 41                	ARLEY               	35541	146	WINSTON             	2053870129	www.youseemore.com/cerl                                                         	324	0.5	23510	6840	7582	5374	4	611	-87.2234	34.04997	23974	42	4
AL	AL0003	CORDOVA PUBLIC LIBRARY                                      	84 MAIN ST.                        	CORDOVA             	35550	1415	WALKER              	2054839578	www.youseemore.com/cerl                                                         	2327	0.5	14446	8764	9287	4961	3	211	-87.182924	33.75642	68970	42	4
AL	AL0004	DORA PUBLIC LIBRARY                                         	1485 SHARON BLVD                   	DORA                	35062	700	WALKER              	2056483211	www.youseemore.com/cerl/                                                        	-3	-3	-3	-3	-3	-3	-3	-3	-87.07569	33.743559	68970	31	4
AL	AL0005	DOUBLE SPRINGS PUBLIC LIBRARY                               	637 BLAKE DRIVE                    	DOUBLE SPRINGS      	35553	555	WINSTON             	2054892412	www.youseemore.com/cerl                                                         	993	1	29374	8745	5850	9458	3	798	-87.383461	34.14703	23974	43	4
AL	AL0006	HALEYVILLE PUBLIC LIBRARY                                   	913 20TH STREET                    	HALEYVILLE          	35565	1323	WINSTON             	2054867450	www.youseemore.com/cerl                                                         	4148	2	65226	10330	5744	13811	3	1891	-87.623386	34.2263	23974	32	4
AL	AL0007	JASPER PUBLIC LIBRARY                                       	98 EAST 18TH STREET                	JASPER              	35501	5491	WALKER              	2052218512	www.youseemore.com/cerl                                                         	14117	2.7	199033	49405	28647	72984	9	8250	-87.273906	33.83339	68970	32	4
AL	AL0009	SUMITON PUBLIC LIBRARY                                      	416 STATE STREET                   	SUMITON             	35148	10	WALKER              	2056487451	www.youseemore.com/cerl                                                         	2586	1.5	41470	9722	1272	10262	3	1266	-87.049527	33.74957	68970	31	4
AL	AL0010	CHEAHA REGIONAL LIBRARY                                     	935 COLEMAN STREET                 	HEFLIN              	36264	1313	CLEBURNE            	2564637125	cheaharegionallibrary.org                                                       	98537	3	124377	21770	1379	89261	6	113	-85.588945	33.64375	14799	42	3
AL	AL0011	ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY                    	736 COLLEGE STREET                 	ROANOKE             	36274	1616	RANDOLPH            	3348632632	-3	6661	5	108124	19487	25588	67048	11	6419	-85.370667	33.1495	22620	32	3
AL	AL0012	ASHLAND CITY PUBLIC LIBRARY                                 	11 SECOND AVENUE NORTH             	ASHLAND             	36251	296	CLAY                	2563543427	M                                                                               	1869	3	75638	21267	13762	20135	7	3238	-85.837992	33.27473	13809	42	3
AL	AL0013	B .B. COMER MEMORIAL LIBRARY                                	314 NORTH BROADWAY AVENUE          	SYLACAUGA           	35150	2528	TALLADEGA           	2562490961	www.sylacauga.net/library                                                       	12932	12.75	733211	102297	72588	183223	54	20024	-86.250724	33.17185	80279	32	3
AL	AL0014	CHEROKEE COUNTY PUBLIC LIBRARY                              	310 MARY STREET                    	CENTRE              	35960	2026	CHEROKEE            	2569275838	www.cheaharegionallibrary.org                                                   	3389	2.5	306770	26840	27650	58250	4	7	-85.67641	34.14928	24545	42	3
AL	AL0015	CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY          	124 NINTH AVENUE SW                	CHILDERSBURG        	35044	1642	TALLADEGA           	2563787239	www.childersburg.org/library                                                    	4985	5	147200	41797	23131	39631	12	8735	-86.355664	33.27752	80279	32	3
AL	AL0016	LINCOLN PUBLIC LIBRARY                                      	49 COMPLEX DRIVE                   	LINCOLN             	35096	5096	TALLADEGA           	2057637777	-3	5047	2.1	101527	16148	8958	7983	5	4080	-86.122667	33.6044	80279	42	3
AL	AL0017	LINEVILLE PUBLIC LIBRARY                                    	60119 HIGHWAY 49                   	LINEVILLE           	36266	482	CLAY                	2563965162	cheaharegionallibrary.org                                                       	2373	2	31165	14817	6286	11099	2	220	-85.754449	33.31468	13809	42	3
