StateAbr,LibID,title,Address,City,Zip,Zip4,County,Phone,WebAddr,RelCode,LegBasis,PopLSA,CentralLib,BranchLib,BookMob,Master,Librarians,OtherPaid,TotStaff,LocGvt,StGvt,FedGvt,OtherInc,TotInc,PrintExp,ElecExp,OthMaterial,TotCollExp,TotalExp,BookVol,Ebook,Audio,Video,HrsOpen,Visits,RefTran,RegBor,TotCirc,KidCirc,TotProg,KidProg,TotAtten,KidAtten,GPTerms,PITUsr,Long,Lat,CountyPop,LocaleCode,CongDist
AK,AK0019,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,229,SE FAIRBANK,9078954102,www.deltalibrarylinks.org/,CI,CI1,1058,1,0,0,0,1,1.38,2.38,151091,6350,1000,0,158441,7583,834,716,9133,157441,13212,0,553,1342,2860,42940,5600,4272,32684,10962,100,79,2180,1415,7,17707,-145.713082,64.03256,6753,43,0
AK,AK0020,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,870,DILLINGHAM,9078425610,www.ci.dillingham.ak.us/,CI,CI1,2347,1,0,0,0,1,0.88,1.88,84431,6350,6000,8126,104907,8502,1355,4340,14197,104340,16913,0,105,1677,2424,14664,1300,1076,18860,8823,6,4,54,34,6,5362,-158.466804,59.04026,4933,43,0
AK,AK0021,EAGLE PUBLIC LIBRARY,2ND & AMUNDSEN,EAGLE,99738,45,SE FAIRBANK,9075472334,-3,NP,CI1,129,1,0,0,0,0.48,0.43,0.91,2000,6350,5000,3982,17332,2632,618,1800,5050,22065,8604,0,599,1914,808,3120,357,168,5565,1866,76,66,711,591,3,984,-141.201813,64.78648,6753,43,0
AK,AK0022,ERNEST NYLIN MEMORIAL LIBRARY,50 ELIM LOOP,ELIM,99739,50,NOME,9078903501,-3,CI,CI1,280,1,0,0,0,0.16,0,0.16,2950,2650,0,0,5600,600,0,100,700,3698,7516,0,300,154,315,460,10,300,151,50,5,5,25,25,3,350,-162.073651,64.75812,9261,43,0
AK,AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591020,library.fnsb.lib.ak.us/,CO,CO1,154228,1,1,1,10,11.75,39.5,51.25,4929278,17206,116354,41689,5104527,339445,69167,75354,483966,4991042,299882,1344,16993,20949,5856,344723,72169,50401,598685,233167,706,576,23235,21007,25,90019,-147.73849,64.83845,97970,13,0
AK,AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI DRIVE,GALENA,99741,149,YUKON-KOYUKUK,9076562489,library.galenanet.org/,CI,CI1,580,1,0,0,0,0.38,0,0.38,23192,6350,0,2802,32344,2608,0,644,3252,30322,10505,0,51,859,750,3100,150,150,5030,1270,46,35,592,462,4,900,-154.720238,65.96966,5701,43,0
AK,AK0027,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,173,VALDEZ-CORDOVA,9078225427,M,NP,CI1,454,1,0,1,0,0,0,0,0,6350,4500,24850,35700,3502,0,739,4241,35627,16773,0,451,3081,1556,12200,740,2257,15920,4445,60,52,418,346,4,1900,-146.369847,62.05552,9362,43,0
AK,AK0028,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,279,SKAGWAY-ANGOON,9076972350,cms.gustavus-ak.gov/services/library,CI,CI1,448,1,0,0,0,0.88,0,0.88,32455,14350,7000,13220,67025,7217,0,1783,9000,65815,11020,0,106,769,1250,8239,220,513,4821,2540,71,36,1124,680,5,2261,-136.855874,58.83307,-1,43,0
AK,AK0029,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,1089,HAINES,9077662545,www.haineslibrary.org/,CO,CO1,2310,1,0,0,0,1,6.3,7.3,281412,6350,77599,29346,394707,30242,2250,2910,35402,439008,37435,0,1444,4504,2800,84260,8000,3487,106421,16934,536,496,6411,5794,13,32500,-135.446889,59.2363,2271,43,0
AK,AK0030,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,518,DENALI,9076832507,www.dbsd.org/,NP,CI1,1025,1,0,0,0,0.6,0,0.6,7500,6350,772,11228,25850,5111,0,391,5502,30977,24654,0,838,1267,977,6404,660,855,18988,6368,67,34,2075,1397,9,1545,-148.563331,64.014,1848,43,0
AK,AK0031,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS SCHOOL ROAD,HOLLIS,99950,5,PR WALES-OUTER KE,9075307112,www.princeofwalesonline.com/hollis_library.html,NP,CI1,172,1,0,0,0,0,0,0,2500,6350,0,2008,10858,4019,470,200,4689,8750,17200,0,630,300,714,1600,600,300,4550,2405,27,26,282,232,3,1000,-132.878786,55.76289,5533,43,0
AK,AK0032,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,library.ci.homer.ak.us/,CI,CI1,5390,1,0,0,1,1,5.9,6.9,580601,6350,0,42958,629909,19821,0,2200,22021,579602,35931,0,892,1906,2704,133186,12000,9933,98815,32796,105,94,4775,4467,19,40041,-151.544372,59.63993,53409,43,0
AK,AK0033,HOPE PUBLIC LIBRARY,18487 A AVENUE,HOPE,99605,127,KENAI PENINSULA,9077823121,-3,NP,CI1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-149.636592,60.916201,53409,42,0
AK,AK0035,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865324,www.juneau.org/library/,CO,CO1,40138,1,2,0,4.69,4.69,15.71,20.4,2104900,20520,110500,30580,2266500,128064,25080,40948,194092,2266500,118523,5166,4754,5724,7745,397401,19966,28173,219996,70174,421,377,11837,10762,45,44871,-134.400041,58.29759,30988,33,0
AK,AK0037,KASILOF PUBLIC LIBRARY,58200 STERLING HIGHWAY,KASILOF,99610,176,KENAI PENINSULA,9072524097,-3,NP,CI1,560,1,0,0,0,0.25,0,0.25,5600,6350,0,688,12638,3450,0,570,4020,13904,14622,0,83,113,515,3080,500,315,5422,1818,53,53,210,210,1,210,-151.225689,60.3424,53409,43,0
AK,AK0038,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,www.kenailibrary.org/,CI,CI1,7134,1,0,0,1,1,5,6,610030,6350,8000,5469,629849,68658,5315,10360,84333,571663,78136,0,1963,3610,3028,97802,1196,15299,115232,35391,271,186,3703,2854,15,23110,-151.244012,60.55813,53409,33,0
AK,AK0039,KETCHIKAN PUBLIC LIBRARY,629 DOCK STREET,KETCHIKAN,99901,6589,KETCHIKAN GATEWAY,9072253331,www.firstcitylibraries.org/,CO,CO1,12993,1,0,0,3,3.65,8.65,12.3,1030068,8204,1000,35936,1075208,89949,2634,30534,123117,1062272,59651,0,4224,5998,3016,132940,9855,10374,160698,60269,282,264,6877,6617,5,9809,-131.650775,55.34479,13142,33,0
AK,AK0040,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,7341,KODIAK ISLAND,9074868688,www.city.kodiak.ak.us/library/,CI,CI2,12972,1,0,0,1,1,6.5,7.5,699548,9518,0,4542,713608,59452,0,4900,64352,640367,68894,0,5929,3835,3344,149572,5101,13131,95667,29898,81,68,2002,952,10,51324,-152.398502,57.79393,13049,33,0
AK,AK0041,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,297,NORTHWEST ARCTIC,9074422410,www.chukchi.alaska.edu/users/zycclib/,MJ,CI2,3972,1,1,0,1,1,0.88,1.88,80000,12700,0,76334,169034,19570,2250,3067,24887,171704,13108,0,284,1638,2912,19100,1700,726,8595,3441,11,7,244,224,5,7408,-162.587444,66.89788,7502,33,0
AK,AK0044,MCGRATH COMMUNITY SCHOOL LIBRARY,CHINANA AVENUE,MCGRATH,99627,249,YUKON-KOYUKUK,9075243843,-3,NP,CI1,317,1,0,0,0,0.25,0.25,0.5,6000,6350,7000,8417,27767,3868,0,0,3868,22097,12141,0,96,134,832,3056,452,338,1997,1037,65,63,1425,1175,4,2240,-154.958831,62.94694,5701,43,0
AK,AK0046,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,7,PR WALES-OUTER KE,9078866015,-3,NL,CI1,1318,1,0,0,0,0.57,0,0.57,44783,6350,0,400,51533,6794,456,1846,9096,49441,8978,0,45,211,720,1815,815,137,1891,634,2,2,21,21,2,712,-131.582243,55.13203,5533,43,0
AK,AK0047,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,147,BRISTOL BAY,9072464465,M,CO,CI2,1029,1,1,0,0,1,2,3,201382,12700,6000,809,220891,9250,0,986,10236,191430,15820,0,253,2700,3244,8644,356,429,6191,2381,62,48,499,460,6,4854,-156.710141,58.84785,953,43,0
AK,AK0048,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,40,YUKON-KOYUKUK,9078325812,nenanalibrary.com/,CI,CI1,347,1,0,0,0,1,0,1,75495,6350,17397,4101,103343,3709,4662,1190,9561,108137,8406,0,468,1626,1664,7940,447,899,7842,1439,66,65,376,346,5,4160,-149.092702,64.56222,5701,43,0
AK,AK0051,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,165,KENAI PENINSULA,9075673333,-3,NP,CI1,853,1,0,0,0,0.38,0,0.38,0,6350,0,17552,23902,3100,0,1336,4436,24995,12412,0,492,2479,1456,7161,432,899,16869,1604,39,25,251,130,3,1912,-151.691726,60.0275,53409,43,0
AK,AK0052,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,1168,NOME,9074436628,M,CI,CI1,3570,1,0,0,0.94,1.88,0.2,2.08,194261,6350,0,2091,202702,9811,2728,979,13518,202705,16059,0,539,895,2288,20000,1248,1466,6581,2882,49,49,525,525,4,10296,-165.40543,64.49731,9261,33,0
AK,AK0053,NORTHWAY COMMUNITY/SCHOOL LIBRARY,MILE 5 NORTHWAY ROAD,NORTHWAY,99764,496,SE FAIRBANK,9077782287,-3,NP,CI1,88,1,0,0,0,0.3,0.3,0.6,0,6350,6000,0,12350,2727,0,839,3566,11158,2827,0,0,210,576,1000,10,70,1400,590,13,3,183,33,2,350,-141.945631,62.94483,6753,43,0
AK,AK0055,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077454690,cityofpalmer.org/library/,CO,CO1,26450,1,0,0,1,1,8.5,9.5,566351,6350,8170,20857,601728,50000,0,0,50000,625101,54729,0,2267,2038,2496,101577,1116,9407,128263,71615,275,235,6489,5722,8,21801,-149.113741,61.59847,85458,32,0
AK,AK0056,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,712,SKAGWAY-ANGOON,9077352500,-3,CI,CI1,113,1,0,0,0,0.32,0.08,0.4,14903,6350,0,1437,22690,3304,0,3350,6654,22635,10304,0,600,1731,546,4397,305,462,9798,1893,126,122,453,419,2,1268,-136.135508,58.10796,-1,43,0
AK,AK0057,PETERSBURG PUBLIC LIBRARY,12 SOUTH NORDIC DRIVE,PETERSBURG,99833,549,WRANGELL-PETERSBU,9077723349,www.psglib.org/,CI,CI1,3036,1,0,0,1,1,2.2,3.2,231387,6350,21445,28880,288062,35252,0,12739,47991,259286,27058,0,1564,4738,2496,50622,2659,3860,73995,24817,156,102,3944,3582,3,8703,-132.958255,56.80848,5910,33,0
AK,AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,49,KODIAK ISLAND,9074542288,-3,CI,CI1,190,1,0,0,0,0.38,0,0.38,16399,6350,5000,0,27749,2640,0,400,3040,19348,12471,0,20,316,780,2197,30,190,609,208,0,0,0,0,4,1885,-152.883298,57.87453,13049,43,0
AK,AK0060,RUBY COMMUNITY LIBRARY,10 BOBBY KENNEDY SR. WAY,RUBY,99768,10,YUKON-KOYUKUK,9074684432,-3,CI,CI1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-155.71915,64.400047,5701,43,0
AK,AK0061,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOL BOULEVARD,SAINT PAUL,99660,905,ALEUTIANS WEST,9075463324,-3,MJ,CI1,450,1,0,0,0,0.6,0,0.6,20360,6350,7000,7170,40880,5016,1733,250,6999,33585,13760,0,77,830,576,5408,1128,317,4178,3566,69,69,442,442,14,2504,-170.27885,57.18359,4529,43,0
AK,AK0064,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,275,KENAI PENINSULA,9072347662,seldovialibrary.wordpress.com/,NP,CI1,257,1,0,0,0,0,0,0,0,6350,1000,1345,8695,4217,0,472,4689,7981,9451,0,342,1481,650,3268,316,435,5038,743,102,22,292,101,2,683,-151.531478,59.64462,53409,43,0
AK,AK0065,SEWARD COMMUNITY LIBRARY,238 5TH AVENUE,SEWARD,99664,2389,KENAI PENINSULA,9072244008,library.cityofseward.net/library/,CI,CI1,2619,1,0,0,1,3,1.5,4.5,369292,6350,2500,13295,391437,30598,998,3013,34609,350725,28667,0,1154,2195,3172,89945,2510,4930,66921,15892,62,41,1467,1252,11,11227,-149.438759,60.10178,53409,43,0
AK,AK0067,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7570,SITKA,9077474021,M,CO,CO1,8615,1,0,0,2,2,5.45,7.45,814667,11735,0,23764,850166,92575,0,24292,116867,803672,65257,0,4879,6547,3680,184964,18400,11242,138621,48823,211,144,6218,4892,10,55002,-135.334496,57.04958,8889,33,0
AK,AK0068,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,394,SKAGWAY-ANGOON,9079832665,skagwaylibrary.blogspot.com/,CI,CI1,846,1,0,0,0,1,0.8,1.8,171362,6350,1000,0,178712,11146,0,127,11273,174144,10202,0,193,1163,2320,14736,2364,1429,14233,3650,96,46,904,422,3,6523,-135.308005,59.46061,-1,43,0
AK,AK0069,SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY STREET,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,www.ci.soldotna.ak.us/library.html/,CI,CI1,4061,1,0,0,1,1,3,4,374212,6350,0,0,380562,48920,0,1500,50420,397961,45048,0,2450,2270,3068,90988,18000,14104,102936,34523,88,86,2351,2310,6,15768,-151.072559,60.49234,53409,33,0
AK,AK0070,SUTTON PUBLIC LIBRARY,11317 NORTH JONESVILLE MINE ROAD,SUTTON,99674,266,MATANUSKA-SUSITNA,9077454467,www.matsulibraries.org/sutton/,CO,CO1,3538,1,0,0,0,1,0.63,1.63,176467,6350,941,2730,186488,17238,0,0,17238,183759,13471,0,940,1033,2132,9152,217,1003,13682,5169,151,126,3383,3196,3,2935,-148.943896,61.7554,85458,43,0
AK,AK0071,TAKOTNA COMMUNITY LIBRARY,RIVERSIDE DRIVE,TAKOTNA,99675,7529,YUKON-KOYUKUK,9072982212,-3,NL,CI1,46,1,0,0,0,0.38,0,0.38,23046,6350,6000,0,35396,3840,290,458,4588,34868,2757,0,68,180,676,1156,275,46,1078,383,17,14,80,68,2,750,-156.124971,62.97515,5701,43,0
AK,AK0072,TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,768,MATANUSKA-SUSITNA,9077332359,www.matsulibraries.org/talkeetna/,CO,CO1,4716,1,0,0,0,1,1.1,2.1,176467,6350,888,2730,186435,19505,0,0,19505,197191,12186,0,856,1590,2184,26000,3465,1739,23692,8148,57,46,1014,854,6,10114,-149.889417,62.17843,85458,43,0
AK,AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,7109,YUKON-KOYUKUK,9073667211,-3,NP,CI1,252,1,0,0,0,0.25,0.5,0.75,5000,6350,923,9000,21273,3147,0,1231,4378,16874,12150,0,520,397,480,2230,265,252,3010,350,54,39,267,217,4,1700,-151.892209,65.3268,5701,43,0
AK,AK0074,DERMOTT O'TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,35,SKAGWAY-ANGOON,9077362248,-3,CI,CI1,99,1,0,0,0,0.25,0,0.25,3441,6350,0,4025,13816,2749,0,1530,4279,13318,6097,0,111,1559,480,1172,88,135,2040,684,44,43,225,206,1,196,-135.212133,57.77754,-1,43,0
AK,AK0075,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,227,SE FAIRBANK,9078835623,-3,NP,CI1,1382,1,0,0,0,0,0,0,5000,6350,978,2125,14453,2586,0,1024,3610,14027,13288,0,321,904,954,1525,80,795,2030,294,9,8,90,80,1,781,-142.249751,63.9214,6753,43,0
AK,AK0077,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS STREET,VALDEZ,99686,609,VALDEZ-CORDOVA,9078354632,www.ci.valdez.ak.us/library/,MJ,CI1,3635,1,0,0,0,1,2.79,3.79,344650,6350,0,16400,367400,23906,200,2656,26762,372501,45074,0,5709,3857,2654,30703,8600,800,21010,5119,32,32,586,586,6,10015,-146.353761,61.12918,9362,43,0
AK,AK0078,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7085,MATANUSKA-SUSITNA,9073732242,www.cityofwasilla.com/library/,CO,CO1,29902,1,0,0,3,3,6.4,9.4,736475,6350,969,37151,780945,68513,1196,12075,81784,782024,49675,0,1602,2506,2204,84096,3616,9374,139531,72384,143,141,9145,8918,7,16690,-149.441507,61.58256,85458,32,0
AK,AK0080,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,129,MATANUSKA-SUSITNA,9074957323,www.matsulibraries.org/willow/,CO,CO1,6788,1,0,0,0,1,1.4,2.4,236298,6350,950,2730,246328,23130,0,0,23130,242648,21856,0,828,1486,1904,27349,796,1917,28527,10996,106,91,2464,2201,8,9195,-150.98442,61.67003,85458,43,0
AK,AK0081,IRENE INGLE PUBLIC LIBRARY,124 SECOND AVENUE,WRANGELL,99929,679,WRANGELL,9078743535,www.wrangell.com/,CO,CO1,2112,1,0,0,0,1,1.5,2.5,206404,6350,0,3315,216069,19500,2247,0,21747,216069,35979,0,1160,1952,1976,26676,6240,1190,29744,10726,41,33,1085,675,4,7999,-132.378872,56.45098,5910,43,0
AK,AK0082,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,49,BETHEL,9077654631,www.yupiit.org/resources/libraries.html,NL,CI1,341,1,0,0,0,0.4,0,0.4,15873,6350,0,0,22223,3756,949,889,5594,23354,7600,0,73,462,655,3979,155,248,3457,1474,298,249,2192,2028,1,589,-161.191724,60.88718,17236,43,0
AK,AK0085,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,9704,VALDEZ-CORDOVA,9078223015,M,NP,CI1,430,1,0,0,0,0,0,0,0,6350,0,6377,12727,2053,0,1202,3255,14449,6670,0,335,1025,1014,3338,70,286,2816,784,4,3,126,51,2,798,-143.873988,61.66443,9362,43,0
AK,AK0087,KOYUK PUBLIC LIBRARY,BIRCH STREET,KOYUK,99753,69,NOME,9079633441,-3,CI,CI1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-161.148928,64.939392,9261,43,0
AK,AK0091,TULUKSAK SCHOOL/COMMUNITY LIBRARY,PHILLIP STREET,TULUKSAK,99679,115,BETHEL,9076955636,www.yupiit.org/Resources/libraries.html,NL,CI1,500,1,0,0,0,0.25,0.25,0.5,27000,6350,0,0,33350,3850,0,1000,4850,32931,8320,0,0,400,520,4155,500,300,8300,6000,20,18,410,335,2,720,-160.95319,61.10831,17236,43,0
AK,AK0092,NAQIAKSRAT LIBRARY,ROCKY ROAD & FISH RIVER ROAD,WHITE MOUNTAIN,99784,130,NOME,9076383411,-3,CI,CI1,191,1,0,0,0,0.3,0,0.3,8674,6350,6000,0,21024,6592,0,84,6676,20456,5629,0,136,58,576,3203,377,191,2061,1064,178,171,1690,1648,1,15,-162.561429,65.00544,9261,43,0
AK,AK0094,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,2130,NORTH SLOPE,9078524050,www.tuzzy.org,MJ,CO1,6692,1,7,0,2,5,10,15,632746,50800,290246,212852,1186644,53033,12362,15647,81042,986910,50768,2424,3847,6097,7804,59822,974,1625,20607,1439,278,200,3188,2660,11,17132,-156.75342,71.29845,6615,43,0
AK,AK0095,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,190,BETHEL,9078253600,www.yupiit.org/resources/libraries.html,NL,CI1,659,1,0,0,0,0.6,0,0.6,10426,6350,1000,0,17776,5154,949,0,6103,15490,10210,0,250,367,480,5656,100,484,2169,727,285,273,2663,2535,2,2005,-161.409778,60.8781,17236,43,0
AK,AK0097,ESTHER GREENWALD LIBRARY,366 GARTEENI HIGHWAY,HOONAH,99829,157,SKAGWAY-ANGOON,9079453611,-3,CI,CI1,823,1,0,0,0,0.43,0.7,1.13,57200,11350,5000,0,73550,8608,500,100,9208,63758,20703,0,85,970,833,15150,375,714,8056,5163,115,104,1327,1242,7,7350,-135.437574,58.10915,-1,43,0
AK,AK0099,MOOSE PASS PUBLIC LIBRARY,200 DEPOT ROAD,MOOSE PASS,99631,154,KENAI PENINSULA,9072883111,-3,NP,CI1,186,1,0,0,0,0,0,0,0,6350,788,1140,8278,4256,0,2182,6438,8603,5686,0,389,1549,768,2856,343,200,6727,2135,50,46,1004,684,2,406,-149.508366,60.52465,53409,43,0
AK,AK0100,NIKOLAI COMMUNITY/SCHOOL LIBRARY,TOP OF THE KUSKOKWIM SCHOOL BUILDIN,NIKOLAI,99691,9091,YUKON-KOYUKUK,9072932427,-3,CI,CI1,90,1,0,0,0,0.25,0,0.25,1250,6350,5759,0,13359,2737,0,309,3046,13359,4100,0,80,120,500,2000,60,90,480,161,120,108,988,940,8,950,-154.374475,63.00669,5701,43,0
AK,AK0101,SAND POINT COMMUNITY/SCHOOL LIBRARY,123 RED COVE ROAD,SAND POINT,99661,269,ALEUTIANS EAST,9073832393,-3,CI,CI1,958,1,0,0,0,0.38,0,0.38,45700,6350,1000,0,53050,9350,600,1400,11350,52493,5600,0,20,565,765,26000,1780,958,28298,26305,347,339,2743,2699,17,11500,-160.487593,55.34761,2810,43,0
